id,name,type,propername,variant,price,unit,fat,sodium,protein,carbs,max,step,dv,qty,ingredients,sans,url,blank
1,bcaa,supplement,BCAA,,0.060,g,0,0,0,0,20,0.1,N/A,0,"2:1:1 leucine, isoleucine, and valine; sunflower lecithin","Soy, Dairy, Yeast, Gluten",https://examine.com/supplements/branched-chain-amino-acids/,blank
2,betaalanine,supplement,Beta Alanine,,0.055,g,0,0,0,0,5,0.1,1.2,0,None,"Sugar, Soy, Dairy, Yeast, Gluten",https://examine.com/supplements/beta-alanine/,blank
3,caffeine,supplement,Caffeine,,0.100,mg,0,0,0,0,0.3,0.001,0.2,0,caffeine anhydrous,"Sugar, Soy, Dairy, Yeast, Gluten",https://examine.com/supplements/caffeine/,blank
4,creatine,supplement,Creatine,,0.022,g,0,0,0,0,5,0.1,N/A,0,creatine monohydrate,"Sugar, Soy, Dairy, Yeast, Gluten",https://examine.com/supplements/creatine/,blank
5,larganine,supplement,L-Arganine,,0.063,g,0,0,0,0,2,0.1,N/A,0,None,"Soy, Dairy, Yeast, Gluten",https://examine.com/supplements/arginine/,blank
6,lcitrulline,supplement,L-Citrulline,,0.050,g,0,0,0,0,5,0.1,N/A,0,None,"Sugar, Soy, Dairy, Yeast, Gluten",https://examine.com/supplements/citrulline/,blank
9,ltheanine,supplement,L-Theanine,,0.065,mg,0,0,0,0,0.5,0.001,N/A,0,None,"Sugar, Soy, Dairy, Yeast, Gluten",https://examine.com/supplements/theanine/,blank
7,niacin,supplement,Niacin,,0.090,mg,0,0,0,0,0.5,0.001,0.2,0,Niacin (as Niacinamide),"Sugar, Soy, Dairy, Yeast, Gluten",https://examine.com/supplements/vitamin-b3/,blank
8,taurine,supplement,Taurine,,0.053,mg,0,0,0,0,0.8,0.001,N/A,0,None,"Sugar, Soy, Dairy, Yeast, Gluten",https://examine.com/supplements/taurine/,blank
10,macaroot,nootropic,Maca Root,,,,,,,,,,,,,,,
11,zma,nootropic,ZMA,,,,,,,,,,,,,,,
12,ginkgo,nootropic,Ginkgo,,,,,,,,,,,,,,,
13,dhea,nootropic,T-Boost (DHEA),,,,,,,,,,,,,,,
14,yohimbe,nootropic,Yohimbe,,,,,,,,,,,,,,,
15,fruitpunch,flavor,Fruit Punch,,,g,0,0,0,1,2,0.1,N/A,0,"Flavor Mix (Maltodextrin, Natural & Artificial Flavor, Citric Acid, Sucralose, Malic Acid, Silica, FD&C Red Lake #40",,,
16,grape,flavor,Grape,,,g,0,0,0,1,2,0.1,N/A,0,"Flavor Mix (Maltodextrin, Natural & Artificial Flavor, Citric Acid, Malic Acid, Sucralose, Silica, FD&C Red Lake #40, FD&C Blue Lake #1",,,
17,limeade,flavor,Limeade,,,g,0,0,0,1,2,0.1,N/A,0,"Flavor Mix (Natural & Artificial Flavor, Citric Acid, Sucralose, Maltodextrin, Malic Acid, Silica, FD&C Yellow Lake #5, FD&C Blue Lake #1",,,
18,watermelon,flavor,Watermelon,,,g,0,0,0,1,2,0.1,N/A,0,"Flavor Mix (Maltodextrin, Natural & Artificial Flavor, Citric Acid, Sucralose, Malic Acid, Silica, FD&C Red Lake #40",,,
